Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_P9A8A6VNT8TIL.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_P9A8A6VNT8TIL.jpeg,Moto,Sport,None,Pattern 8,Color 0,WW-901,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_UEL8QGK09D2FV.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_UEL8QGK09D2FV.jpeg,Moto,Sport,None,Pattern 2,Color 5,WW-902,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_HVQS7FPDM48QA.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_HVQS7FPDM48QA.jpeg,Moto,Sport,Side Cart,Pattern 1,Color 0,WW-903,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_FMV8PBH538MET.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_FMV8PBH538MET.jpeg,Moto,Sport,None,Pattern 0,Color 1,WW-904,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_TFLT6KWH2HPX1.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_TFLT6KWH2HPX1.jpeg,Moto,Sport,None,Pattern 1,Color 4,WW-905,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_TDNN0P5D4IBUT.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_TDNN0P5D4IBUT.jpeg,Moto,Sport,None,Pattern 0,Color 0,WW-906,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_RIFYBF9H9FGYS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_RIFYBF9H9FGYS.jpeg,Moto,Sport,None,Pattern 0,Color 2,WW-907,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_B7RM9O45ZKYJE.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_B7RM9O45ZKYJE.jpeg,Moto,Sport,None,Pattern 0,Color 0,WW-908,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_VTS9JQH7HE3RH.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_VTS9JQH7HE3RH.jpeg,Moto,Sport,None,Pattern 0,Color 1,WW-909,,,,,,,
Lotene,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_UM06831D8K7OW.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_UM06831D8K7OW.jpeg,Moto,Sport,None,Pattern 0,Color 0,WW-910,,,,,,,
