Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_T0PQ8M86R2M5S.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_T0PQ8M86R2M5S.jpeg,Moto,Hover,Side Cart,Pattern 10,Color 10,WW-302,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_SQV1OQ7GXGOF5.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_SQV1OQ7GXGOF5.jpeg,Moto,Hover,Side Cart,Pattern 14,Color 2,WW-303,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_V6HRW5FNQ7BWQ.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_V6HRW5FNQ7BWQ.jpeg,Moto,Hover,None,Pattern 11,Color 11,WW-304,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1Y00BNYK5G67G.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1Y00BNYK5G67G.jpeg,Moto,Hover,None,Pattern 7,Color 12,WW-305,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_970PSAWQX1XWS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_970PSAWQX1XWS.jpeg,Moto,Hover,Side Cart,Pattern 10,Color 5,WW-306,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_FEG5RBSMQVFX9.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_FEG5RBSMQVFX9.jpeg,Moto,Hover,Side Cart,Pattern 13,Color 10,WW-307,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_42R758KQUMEYH.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_42R758KQUMEYH.jpeg,Moto,Hover,Side Cart,Pattern 12,Color 1,WW-308,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_35Y04LFK2M1SJ.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_35Y04LFK2M1SJ.jpeg,Moto,Hover,None,Pattern 10,Color 0,WW-309,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_43JHAPQ3JJ2ZD.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_43JHAPQ3JJ2ZD.jpeg,Moto,Hover,Side Cart,Pattern 11,Color 0,WW-310,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_LOC48WCVLAGK6.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_LOC48WCVLAGK6.jpeg,Moto,Hover,None,Pattern 10,Color 10,WW-311,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_6ORGXFYTLNHPR.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_6ORGXFYTLNHPR.jpeg,Moto,Hover,None,Pattern 4,Color 10,WW-312,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_FAKA9FUE3MIPW.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_FAKA9FUE3MIPW.jpeg,Moto,Hover,Side Cart,Pattern 11,Color 11,WW-313,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_XPBJAP3EGHGTY.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_XPBJAP3EGHGTY.jpeg,Moto,Hover,Side Cart,Pattern 11,Color 12,WW-314,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_QL69UBWFECU6U.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_QL69UBWFECU6U.jpeg,Moto,Hover,Side Cart,Pattern 1,Color 12,WW-315,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_2AXZ7XFUC9JBY.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_2AXZ7XFUC9JBY.jpeg,Moto,Hover,Side Cart,Pattern 10,Color 11,WW-316,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_WEOOGU8ZDAVSP.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_WEOOGU8ZDAVSP.jpeg,Moto,Hover,Side Cart,Pattern 11,Color 13,WW-317,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_VWKP7JX8361MB.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_VWKP7JX8361MB.jpeg,Moto,Hover,None,Pattern 6,Color 2,WW-318,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_PZP8LP7NEJY5U.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_PZP8LP7NEJY5U.jpeg,Moto,Hover,None,Pattern 12,Color 13,WW-319,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_CEZN1E6XNAF2U.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_CEZN1E6XNAF2U.jpeg,Moto,Hover,Side Cart,Pattern 10,Color 5,WW-320,,,,,,,
Misterbeans,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_ZWFF670MZLJEE.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_ZWFF670MZLJEE.jpeg,Moto,Hover,None,Pattern 11,Color 9,WW-321,,,,,,,
