Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_I6HG6E5HYVF0C.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_I6HG6E5HYVF0C.jpeg,Moto,Wheeled,None,Pattern 3,Color 2,WW-701,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_NNMRAW6GEPE5F.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_NNMRAW6GEPE5F.jpeg,Moto,Wheeled,None,Pattern 1,Color 4,WW-702,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_HGZL7EIAEXMJN.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_HGZL7EIAEXMJN.jpeg,Moto,Wheeled,None,Pattern 6,Color 0,WW-703,Yes,Yes,Yes,Yes,Yes,No,The windshield is blurry. May be a desired visual affect.
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_2D9X3VILE2CZB.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_2D9X3VILE2CZB.jpeg,Moto,Wheeled,None,Pattern 0,Color 1,WW-704,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_633W918SVDCGN.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_633W918SVDCGN.jpeg,Moto,Wheeled,None,Pattern 1,Color 2,WW-705,Yes,Yes,Yes,Yes,Yes,No`,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_2451LJ21YPFL3.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_2451LJ21YPFL3.jpeg,Moto,Wheeled,None,Pattern 1,Color 0,WW-706,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_XRS3DGFMFO55F.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_XRS3DGFMFO55F.jpeg,Moto,Wheeled,None,Pattern 3,Color 4,WW-707,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_CLRRP8OELHX5K.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_CLRRP8OELHX5K.jpeg,Moto,Wheeled,None,Pattern 5,Color 0,WW-708,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_WJK0PCFNR2YNC.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_WJK0PCFNR2YNC.jpeg,Moto,Wheeled,None,Pattern 3,Color 1,WW-709,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_66FTZMZHZBOW5.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_66FTZMZHZBOW5.jpeg,Moto,Wheeled,None,Pattern 14,Color 6,WW-710,Yes,Yes,Yes,Yes,Yes,No,No
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_AJ5YTY56ETTXN.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_AJ5YTY56ETTXN.jpeg,Moto,Wheeled,None,Pattern 3,Color 5,WW-711,Yes,Yes,Yes,Yes,Yes,No,No
